,doc_id,Name,Gender,predictions,GT_score,Gender.1
0,98,Spencer Haywood*,male,16013,16013,male
1,118,Paul Arizin*,male,15145,15145,male
2,201,Jamal Mashburn,male,12466,12466,male
3,313,Norm Van,male,9675,9675,male
4,418,Danilo Gallinari,male,8023,8023,male
5,490,George Hill,male,7039,7039,male
6,519,Steve Hawes,male,6653,6653,male
7,544,Lisa Leslie,female,6263,6263,female
8,846,Rick Roberson,male,3826,3826,male
9,943,Andrea Stinson,female,3351,3351,female
10,957,Matt Bullard,male,3270,3270,male
11,1131,Stefanie Dolson,female,2501,2501,female
12,1145,Kelsey Mitchell,female,2428,2428,female
13,1196,Joey Graham,male,2239,2239,male
14,1253,Tom Tolbert,male,2030,2030,male
15,1273,Austin Daye,male,1964,1964,male
16,1449,Erin Phillips,female,1454,1454,female
17,1510,Tim Kempton,male,1302,1302,male
18,1546,Seth Curry,male,1203,1203,male
19,1640,Lonny Baxter,male,1006,1006,male
20,1641,Nick Jones,male,1003,1003,male
21,1731,Kym Hampton,female,840,840,female
22,1744,Jamierra Faulkner,female,814,814,female
23,1854,Chennedy Carter,female,648,648,female
24,1929,Tynesha Lewis,female,568,568,female
25,1955,Sam Jacobson,male,538,538,male
26,2026,Coquese Washington,female,464,464,female
27,2045,Crystal Kelly,female,451,451,female
28,2061,Gwen Jackson,female,437,437,female
29,2096,Helen Luz,female,410,410,female
30,2119,Brad Branson,male,391,391,male
31,2172,Ayana Walker,female,353,353,female
32,2174,Crystal Smith,female,351,351,female
33,2296,Rashanda McCants,female,275,275,female
34,2347,Todd Mitchell,male,246,246,male
35,2388,Jose Slaughter,male,225,225,male
36,2623,Marianna Tolo,female,137,137,female
37,2663,Franthea Price,female,127,127,female
38,2723,Megan Mahoney,female,107,107,female
39,2834,Jackie Robinson,male,83,83,male
40,2867,Steve Hamer,male,76,76,male
41,2880,Lenae Williams,female,73,73,female
42,2900,Luis Flores,male,70,70,male
43,3211,Kierstan Bell,female,27,27,female
44,3284,Katryna Gaither,female,20,20,female
45,3407,Myron Jackson,male,11,11,male
46,3475,Miranda Ayim,female,8,8,female
47,3483,Romana Hamzova,female,7,7,female
48,3521,Victoria Macaulay,female,6,6,female
49,3716,Ryneldi Becenti,male,0,0,male
